UNITID,FIRST_YEAR_RET_RATE,GRAD_RATE_WITHIN_150,COMP_TRAN_RATE,OUTCOME_EFFICIENCY_INDEX,FALL_ENROLLMENT_TOTAL,cluster,similarity
156107,0.5641025641025641,0.43,0.4323056300268096,2.965619738,6106,Our WSUT Cluster,1.0
139384,0.5268041237113402,0.43,0.4877650897226753,3.218132725,7282,Our WSUT Cluster,0.9781358584338429
140243,0.5702775290957923,0.34,0.4048165137614679,3.166504733,6908,Our WSUT Cluster,0.9773575573112141
218885,0.5400696864111498,0.42,0.3964063072973964,2.602343873,5890,Our WSUT Cluster,0.9759495511513574
434061,0.5077720207253886,0.3,0.3427638737758433,4.357716297,6238,Our WSUT Cluster,0.9449786991511026
138840,0.5228571428571429,0.49,0.3749402199904352,4.232217982,4498,Our WSUT Cluster,0.9231500655496443
140012,0.5149900066622252,0.32,0.332818134981968,3.601626386,11166,Our WSUT Cluster,0.9153092434489423
140942,0.5170068027210885,0.42,0.4410282258064516,3.567594805,3942,Our WSUT Cluster,0.9086292340209801
231697,0.5177419354838709,0.45,0.3174603174603174,3.452029964,3481,Our WSUT Cluster,0.8525717726874652
144193,0.5463108320251178,0.27,0.3683834048640915,2.55506791,6296,Our WSUT Cluster,0.8434034282422851
197887,0.4943722943722943,0.4,0.3545133635905194,2.341483517,6510,Our WSUT Cluster,0.7959246956379167
199786,0.6764705882352942,0.39,0.3409722222222222,2.887908956,4827,Our WSUT Cluster,0.793228686157413
160579,0.5457102672292545,0.43,0.5142314990512334,2.362323181,3446,Our WSUT Cluster,0.7845688616331822
139357,0.4231354642313546,0.27,0.3036211699164345,3.921749657,3307,Our WSUT Cluster,0.767633369281493
198570,0.4907521578298397,0.63,0.4460505937016004,2.556518893,6443,Our WSUT Cluster,0.7550178517993624
138956,0.4758713136729222,0.31,0.3700969081679741,2.590703727,4455,Our WSUT Cluster,0.7375270459114306
205841,0.4473684210526316,0.23,0.2856470588235294,2.781103819,10128,Our WSUT Cluster,0.719042002218446
172954,0.578125,0.66,0.4326710816777042,3.34737023,1970,Our WSUT Cluster,0.7007776385389013
244446,0.4949899799599198,0.44,0.3782467532467532,2.423719109,3282,Our WSUT Cluster,0.6999062112133704
158884,0.4682080924855491,0.27,0.3312043795620438,3.120464888,2819,Our WSUT Cluster,0.6928626925271775
483212,0.4952076677316294,0.3,0.2384708737864077,2.837569893,3463,Our WSUT Cluster,0.663533303645872
228699,0.4241645244215938,0.47,0.4523281596452328,2.483239252,4290,Our WSUT Cluster,0.6089909230957841
138682,0.3880903490759753,0.42,0.4503816793893129,3.046322122,2719,Our WSUT Cluster,0.6066340668539849
158431,0.390547263681592,0.15,0.2343009478672985,2.907499089,5561,Our WSUT Cluster,0.5793313929450054
198330,0.4933993399339934,0.49,0.3314972458688032,2.151590933,3659,Our WSUT Cluster,0.5367673821150735
242583,0.6911764705882353,0.73,0.0182232346241457,2.927832023,179,Our WSUT Cluster,0.27972648161459446
240116,0.6601842374616171,0.5,0.5492424242424242,2.526044292,8330,Closest Cluster,0.7576814796317237
101736,0.6061120543293718,0.39,0.375,2.054219014,4665,Closest Cluster,0.7570524164268355
145682,0.6416791604197901,0.49,0.3429500203169443,2.36528635,7906,Closest Cluster,0.748003037685156
239460,0.5306799336650083,0.45,0.5024015369836695,2.062462215,6746,Closest Cluster,0.7368225039389775
233949,0.546112116,0.4,0.3685698134539287,1.974793544,6332,Closest Cluster,0.7266026841055802
441760,0.6309859154929578,0.31,0.394375409,2.165691743,5680,Closest Cluster,0.6858230124248479
154572,0.6082603254067585,0.5,0.5326760563380282,2.023445254,5482,Closest Cluster,0.6449704555530644
153311,0.552168816,0.45,0.3532856213402732,1.939849146,7426,Closest Cluster,0.6389988649644187
232414,0.5429314830875975,0.32,0.2266316825188586,2.207609947,8681,Closest Cluster,0.6176196725149027
238759,0.6543624161073825,0.51,0.500225938,2.150877856,10100,Closest Cluster,0.6158339049667414
232450,0.5598824393828068,0.38,0.2767481044650379,2.077393881,9380,Closest Cluster,0.6057796354525353
199892,0.6824146981627297,0.49,0.3994755244755245,2.44433438,3626,Closest Cluster,0.5976330583938926
240125,0.7341115434500648,0.44,0.4953802416488984,2.312688332,8367,Closest Cluster,0.5950669976411673
199494,0.5512820512820513,0.35,0.3215297450424929,1.921565674,7028,Closest Cluster,0.5825353135702477
227304,0.5903846153846154,0.37,0.2284234752589183,2.094094609,9981,Closest Cluster,0.5704190441457666
175315,0.5267452402538532,0.31,0.3365298172010788,1.959597574,8726,Closest Cluster,0.5589487801881091
227377,0.6065057712486883,0.3,0.3426724137931034,1.955803254,8828,Closest Cluster,0.5531024579357439
218140,0.5708502024291497,0.38,0.3295644891122278,1.845553686,7923,Closest Cluster,0.5357978160285984
143215,0.6338273757628596,0.36,0.330518697,1.924518065,8492,Closest Cluster,0.5330651458682872
198233,0.5894941634241245,0.35,0.3519283746556473,1.848607366,4904,Closest Cluster,0.529628440422931
126289,,0.29,0.2551686615886833,2.092505478,15012,Closest Cluster,0.5272647010198328
233116,0.5636114911080712,0.39,0.3412135539795114,1.781185344,5263,Closest Cluster,0.5190788494242882
239488,0.6292834890965732,0.51,0.504012228,1.917340282,11826,Closest Cluster,0.5179598510720553
198552,0.5250417362270451,0.34,0.345750452,1.842200918,9099,Closest Cluster,0.5036946661020024
185873,0.6306720275703619,0.42,0.4153005464480874,1.799372006,7095,Closest Cluster,0.5029706518881212
174756,0.5918367346938775,0.45,0.3420378904249872,1.824917673,4030,Closest Cluster,0.4568661854115756
175041,0.5166240409207161,0.4,0.3355172413793103,1.789782995,5198,Closest Cluster,0.4401834079832809
222062,0.5287595287595288,0.33,0.3699029126213592,1.743568208,5899,Closest Cluster,0.42473294479204193
238722,0.6973293768545994,0.65,0.6631757712991792,1.914710077,10670,Closest Cluster,0.4230183520151224
201973,0.8333333333333334,0.22,0.3224893917963224,2.507096008,5077,Closest Cluster,0.3957452307175553
144944,0.704066265,0.41,0.322165821,1.707417564,10251,Closest Cluster,0.3734316257311599
148380,0.6372180451127819,0.37,0.3167992512868507,1.761954355,5978,Closest Cluster,0.3674563541139287
203748,,0.31,0.3039443155452436,1.614264518,9350,Closest Cluster,0.3560936770518175
180902,0.6289308176100629,0.48,0.5020479812755998,1.647259701,6927,Closest Cluster,0.35446723103336564
104160,0.5644916540212443,0.2,0.3493788819875776,1.601233764,8964,Closest Cluster,0.3205385007396964
106148,,0.34,0.3364532019704433,1.589352732,7428,Closest Cluster,0.31907566372809537
204945,0.5548841893252769,0.35,0.4042979037185294,1.538817591,7854,Closest Cluster,0.3156772072195313
187620,0.5931495405179615,0.19,0.2604834731129748,1.707413645,7200,Closest Cluster,0.29032187362842166
199333,0.5490360435875943,0.35,0.3094352384173148,1.558702499,7684,Closest Cluster,0.2898771267895722
489201,0.5668629100084104,0.45,0.3046823477687403,1.434356536,10358,Closest Cluster,0.2829409080366665
384342,0.6888888888888889,0.54,0.2889518413597733,1.883386406,4855,Closest Cluster,0.27415225455081327
173708,0.6740331491712708,0.42,0.3748277446026642,1.798148015,4572,Closest Cluster,0.2712876551115852
120421,0.566281441,0.34,0.2780864197530864,1.570291741,7361,Closest Cluster,0.2685361863341258
142559,,0.33,0.3721362229102167,1.345485533,10176,Closest Cluster,0.23901143650248707
262031,0.5880370682392586,0.25,0.2585271317829457,1.650219506,6143,Closest Cluster,0.22247473936143652
173461,0.5975177304964538,0.42,0.4185893210283454,1.654012432,4074,Closest Cluster,0.2167121532489079
144218,0.6494940202391905,0.31,0.2645739910313901,1.517795997,7798,Closest Cluster,0.21352586937009393
101240,0.5857275254865616,0.38,0.3322490706319702,1.613368493,5071,Closest Cluster,0.20663616996772716
226578,0.6466302367941712,0.39,0.2601102941176471,1.486127602,7850,Closest Cluster,0.20223543022265808
174428,0.566984127,0.27,0.2543188898329085,1.276467291,11026,Closest Cluster,0.201634381211497
153630,0.5400516795865633,0.4,0.3304610081861266,1.575554378,5540,Closest Cluster,0.2008291865011847
125499,0.6494382022471911,0.51,0.2354628422425032,,7655,Closest Cluster,0.19629089079749668
181640,0.6428985507246376,0.38,0.3430311231393775,1.122497229,10816,Closest Cluster,0.1369879730178462
147800,0.6187245590230664,0.37,0.1547619047619047,1.384809381,8329,Closest Cluster,0.13324103187137556
174738,0.5696551724137932,0.29,0.3090037293553543,1.582081089,5205,Closest Cluster,0.12648773948154307
198118,0.6087912087912087,0.45,0.3478260869565217,1.67720232,3914,Closest Cluster,0.12319532187724608
184791,0.609375,0.39,0.3144314431443144,1.548425113,5218,Closest Cluster,0.10321508412599145
488077,0.6643445218492717,0.33,0.5027726432532348,,5437,Closest Cluster,0.09990695215856744
126207,0.5732031943212067,0.4,0.3437086092715232,1.222908506,8542,Closest Cluster,0.0912023448583435
162557,0.5968543046357616,0.37,0.4546825263863294,1.24949171,7293,Closest Cluster,0.034665644372697924
146603,0.6526508226691042,0.44,0.5068027210884354,1.510885829,4606,Closest Cluster,0.007402409607755456
455196,0.6332046332046332,0.45,0.543607532,,4478,Closest Cluster,0.0033899374910281443
184180,0.7110460863204097,0.36,0.3694599627560521,1.329904403,6131,Closest Cluster,-0.009713927442853487
235149,,0.37,0.4275694245634125,1.260960003,6698,Closest Cluster,-0.025094724010736258
141811,0.6397260273972603,0.35,0.3005332040717401,1.218624477,6471,Closest Cluster,-0.08229496717073553
