UNITID,FIRST_YEAR_RET_RATE,GRAD_RATE_WITHIN_150,COMP_TRAN_RATE,OUTCOME_EFFICIENCY_INDEX,FALL_ENROLLMENT_TOTAL
101028,0.46494464944649444,0.36,0.2770012706480305,1.528981927,1705
101240,0.5857275254865616,0.38,0.33224907063197023,1.613368493,5071
101286,0.556657224,0.35,0.3913285158421345,1.827063453,4044
101462,0.46938775510204084,0.14,0.225,1.441279058,1187
101505,0.5285285285285285,0.26,0.2211564082067679,1.419186099,9240
101569,0.48435374149659866,0.27,0.25195901145268235,1.135383582,3453
101736,0.6061120543293718,0.39,0.375,2.054219014,4665
102030,0.48391608391608393,0.36,0.3003003003003003,1.436126672,4001
102067,0.5401234567901234,0.3,0.21237993596584845,1.342579067,4601
102313,0.45227272727272727,0.16,0.38650963597430404,1.231644289,2046
104160,0.5644916540212443,0.2,0.34937888198757766,1.601233764,8964
105145,,0.29,0.285863147,1.675896897,5553
105792,,0.16,0.1691948658109685,1.025119293,4516
106148,,0.34,0.33645320197044337,1.589352732,7428
106546,,,0.8269662921348314,,583
106980,0.4981203007518797,0.35,0.28907330567081607,1.737531576,1805
107318,0.5490196078431373,0.58,0.32075471698113206,1.528338351,1022
107664,0.5363057324840764,0.36,0.30645944633317146,1.957805976,4478
107840,0.3787878787878788,0.13,0.10628019323671498,,287
108667,0.391025641,0.33,0.2078832116788321,0.786492362,6141
111434,0.4664351851851852,0.47,0.20946146980065455,0.52752597,6625
112385,0.311886587,0.34,0.16097912167026637,1.334295908,9008
112686,0.3826247689463956,0.27,0.1855800964711856,0.637260748,5225
112826,0.5337349397590362,0.28,0.2332155477031802,0.86849068,6538
113111,,0.31,0.32127838519764507,1.014633803,6768
113218,0.5539257981018119,0.41,0.25233007501704935,0.574102784,8905
117247,0.3660062565172054,0.31,0.20155181969333086,0.76526184,9328
117690,0.4058205335489086,0.36,0.21370007934408886,0.761895152,9463
117715,0.28343949044585987,0.34,0.18293809670465044,0.444158624,5371
118198,0.7051792828685259,0.77,0.688026981,,2000
118347,0.5963938973647711,0.39,0.19604938271604938,0.320570359,4838
118772,0.3234836702954899,0.26,0.20833333333333334,1.428250087,7022
118930,0.471900089,0.39,0.17906852248394003,0.989911586,6909
119067,0.5442622950819672,0.4,0.15021929824561403,0.586104173,7173
119331,0.6296900489396411,0.43,0.29213020189534405,0.718103606,4844
120421,0.566281441,0.34,0.2780864197530864,1.570291741,7361
120661,,0.76,0.7881873727087576,,147
121363,0.21179624664879357,0.34,0.3544207317073171,0.901137569,4784
122746,0.42194644023514044,0.34,0.2441675503711559,0.63064837,8609
122791,0.5958023019634394,0.61,0.3003671408903167,0.677290908,9901
123642,0.6,0.17,0.3106796116504854,,306
123679,0.8734939759036144,0.84,0.8740157480314961,,214
124937,0.6940298507462687,0.78,0.7834394904458599,,158
125170,0.4556786703601108,0.36,0.21095238095238095,0.753586198,6278
125499,0.6494382022471911,0.51,0.23546284224250327,,7655
126119,0.5307994757536042,0.4,0.2745021475985943,1.223731959,6320
126207,0.5732031943212067,0.4,0.3437086092715232,1.222908506,8542
126289,,0.29,0.25516866158868334,2.092505478,15012
126863,0.4849246231155779,0.33,0.1739915713425647,1.581614917,8833
133845,0.52,0.47,0.7493857493857494,,225
138655,0.5661764705882353,0.37,0.4420131291028446,,521
138682,0.38809034907597534,0.42,0.45038167938931295,3.046322122,2719
138840,0.5228571428571429,0.49,0.3749402199904352,4.232217982,4498
138956,0.47587131367292224,0.31,0.37009690816797414,2.590703727,4455
139357,0.4231354642313546,0.27,0.30362116991643456,3.921749657,3307
139384,0.5268041237113402,0.43,0.48776508972267535,3.218132725,7282
139995,0.7153284671532847,0.75,0.925,,338
140003,0.6111111111111112,0.58,0.5047801147227533,,156
140012,0.5149900066622252,0.32,0.33281813498196805,3.601626386,11166
140243,0.5702775290957923,0.34,0.4048165137614679,3.166504733,6908
140942,0.5170068027210885,0.42,0.4410282258064516,3.567594805,3942
141680,0.5789473684210527,0.25,0.40668896321070236,1.195729967,3342
141796,0.5366120218579234,0.22,0.33224907063197023,0.956153735,5914
141811,0.6397260273972603,0.35,0.30053320407174017,1.218624477,6471
141990,0.551829268,0.31,0.29249617151607965,0.681249181,2765
142179,0.5316455696202531,0.39,0.5493827160493827,1.201433715,3013
142443,0.5625920471281296,0.38,0.2971360381861575,1.248943888,4585
142559,,0.33,0.3721362229102167,1.345485533,10176
143215,0.6338273757628596,0.36,0.330518697,1.924518065,8492
143279,0.6806853582554517,0.4,0.3408710217755444,1.171233589,4001
144157,0.41379310344827586,0.31,0.2679425837320574,0.853911426,3274
144166,0.4986351228389445,0.18,0.2824427480916031,1.699099378,9303
144175,0.4263322884012539,0.21,0.43797709923664124,1.152898651,3137
144184,0.5321969696969697,0.32,0.2342814371257485,0.845448488,6839
144193,0.5463108320251178,0.27,0.36838340486409155,2.55506791,6296
144209,0.5369393139841688,0.26,0.23959296947271044,1.928307939,6121
144218,0.6494940202391905,0.31,0.2645739910313901,1.517795997,7798
144944,0.704066265,0.41,0.322165821,1.707417564,10251
145682,0.6416791604197901,0.49,0.3429500203169443,2.36528635,7906
146348,0.5436681222707423,0.32,0.372972973,1.086860785,2564
146603,0.6526508226691042,0.44,0.5068027210884354,1.510885829,4606
146816,0.25,0.11,0.2383177570093458,,310
147411,0.5619469026548672,0.31,0.2868663594470046,1.150230867,3562
147800,0.6187245590230664,0.37,0.15476190476190477,1.384809381,8329
147916,0.6535874439461884,0.32,0.3213828425096031,1.155058767,6014
148007,0.5,0.21,0.2284843869002285,1.446414369,2953
148292,0.4632352941176471,0.6,0.4437400950871632,1.297512846,2388
148380,0.6372180451127819,0.37,0.3167992512868507,1.761954355,5978
149365,0.5269461077844312,0.28,0.20058708414872797,0.809181501,3818
150251,0.5,0,0.2037037037037037,,182
153311,0.552168816,0.45,0.35328562134027325,1.939849146,7426
153630,0.5400516795865633,0.4,0.33046100818612667,1.575554378,5540
154572,0.6082603254067585,0.5,0.5326760563380282,2.023445254,5482
155292,0.4810951760104302,0.42,0.3231984998660595,1.678111152,5014
155487,0.7608695652173914,0.74,0.5875576036866359,3.132545577,878
156107,0.5641025641025641,0.43,0.43230563002680966,2.965619738,6106
